id,name,artist_genres,artist_image
4G0XDEk7RbA4BBCTs917U9,Sun Kil Moon,indie rock,https://i.scdn.co/image/bdffb6a7b62e1ca1c5d93589064bb67515464abe
0eDp7gl8ao0GTM0j8S3KZT,Sound Waves,sound,https://i.scdn.co/image/ab6761610000e5eb405553b4662bf21154434415
0WfaItAbs4vlgIA1cuqGtJ,Daniela Andrade,canadian contemporary r&b,https://i.scdn.co/image/ab6761610000e5ebf6e6bb8d43716ac8e066011b
71jzN72g8qWMCMkWC5p1Z0,Alexandre Desplat,french soundtrack,https://i.scdn.co/image/55e59036a536f4c8992e600f50369c39337bbf50
2L3kwZFd16zjHz9a5kEPAm,Ane Brun,melancholia,https://i.scdn.co/image/ab6761610000e5eb6790db691b546330e3b4976b
45lorWzrKLxfKlWpV7r9CN,Ben Harper,neo mellow,https://i.scdn.co/image/ab6761610000e5eb3c9c29d5da3d90b991c6abbb
63MQldklfxkjYDoUE4Tppz,M83,french shoegaze,https://i.scdn.co/image/ab6761610000e5ebfdb74f864a7a2cca6014a8a6
3LEQVrumMpSPgp3IFpO3BF,Space Raiders,big beat,https://i.scdn.co/image/ab67616d0000b273efcec822fe5c93c7cf439812
2t9yJDJIEtvPmr2iRIdqBf,Fink,indie folk,https://i.scdn.co/image/ab6761610000e5eb9e6c6c815fb8c9e16e6a6e04
5gwjYIVPjuGklvvIhM9EnI,Pierre Bensusan,fingerstyle,https://i.scdn.co/image/ab6761610000e5eb9217b880c44c4ceeb7c41dff
4BxCuXFJrSWGi1KHcVqaU4,Kodaline,irish pop,https://i.scdn.co/image/ab6761610000e5eb0b99560e4162fe239ac6d3ba
4njdEjTnLfcGImKZu1iSrz,AWOLNATION,la indie,https://i.scdn.co/image/ab6761610000e5eb5d42e15eb8c8297112fd26ba
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,indietronica,https://i.scdn.co/image/ab6761610000e5eb854b6139b96beb6dbc398e06
